"id","name","gng","etsng"
"437","Напитки сброженные и смеси сброженных напитков и безалкогольных напитков,к.п.о.","22060000",""
"438","Спирт этиловый и спирты денатурированные","22072000",""
"439","Спирт этиловый неденатурированный до 80%;спиртовые настойки,ликеры и спиртные напитки","22080000",""
"440","Коньяк,емкость до 2л","22082012",""
"441","Водка,спирт до 45,4%,емкость от 2л","22086019",""
"442","Ликеры,емкость до 2л","22087010",""
"443","Напитки спиртные","22089000",""
"444","Спирт этиловый не денатурированный до 80%,емкость до 2л","22089091",""
"445","Уксус,емкость от 2л,к.п.о.","22090099",""
"446","Мука и гранулы из мяса или мясных субпродуктов;шкварки","23011000",""
"447","Мука и гранулы из рыбы или ракообразных,моллюсков или водных беспозвоночных","23012000",""
"448","Отруби,высевки,месятки и остатки от просеивания,помола или других способов переработки зерна злаков и бобовых культур","23020000",""
"449","Остатки пшеничные,к.п.о.","23023090",""
"450","Остатки злаков,к.п.о.","23024090",""
"451","Остатки от производства крахмала из кукурузы,белок в пересчета на сухое вещество до 40%","23031019",""
"452","Остатки от производства крахмала и подобные остатки,к.п.о.","23031090",""
"453","Свекловичный жом с содержанием сухого вещества до 87%","23032018",""
"454","Барда и отходы пивоварения или винокурения","23033000",""
"455","Жмыхи и другие остатки","23069000",""
"456","Продукты растительного происхождения,отходы,остатки и побочные продукты,используемые для кормления животных","23080019",""
"457","Продукты,отходы растительного происхождения,остатки и побочные продукты для кормления животных,к.п.о.","23080090",""
"458","Продукты,используемые в кормлении животных","23099000",""
"459","Корм для животных,расфасованный крахмал от 30%,молочные продукты от 50%","23099059",""
"460","Продукты,для кормления животных","23099097",""
"461","Сырье табачное,отходы табачные","24010000",""
"462","Табак со средней жилкой","24011000",""
"463","Отходы табачные","24013000",""
"464","Сигары,сигары с обрезанными концами и сигариллы,содержащие табак","24021000",""
"465","Сигареты,содержащие табак","24022000",""
"469","Табак 'гомогенизированный' или 'восстановленный'","24039100",""
"470","Табак жевательный и нюхательный","24039910",""
"471","Табак и заменители табака промышленно изготовленные","24039990",""
"472","Соль поваренная и чистый хлорид натрия,для разделения и производства других продуктов","25010031",""
"473","Соль поваренная,техническая","25010051",""
"474","Соль поваренная столовая,пищевая","25010091",""
"475","Соль поваренная столовая","25010099",""
"476","Пирит необожженный","25020000",""
"477","Сера всех видов,кроме серы сублимированной,осажденной и коллоидной","25030000",""
"478","Сера сырая или нерафинированная","25030010",""
"479","Сера всех видов,кроме серы сырой и нерафинированной","25030090",""
"480","Графит природный","25040000",""
"482","Графит природный в порошке и чешуйках","25041000",""
